gtin,sku,description,locationGln,locationName,quantityOnHand,uom,status
00012345600012,SKU-WOOF-001-001,Premium Belly Rub Machine,0614141000012,Golden Retriever Distribution Center,1428,EA,active
00012345600029,SKU-WOOF-002-002,Tennis Ball Launcher 3000,0614141000029,Labrador Logistics Hub,1111,EA,active
00012345600036,SKU-WOOF-003-003,Squirrel Detection Radar,0614141000036,German Shepherd Sorting Facility,958,EA,active
00012345600043,SKU-WOOF-004-004,Anti-Mailman Defense System,0614141000043,Poodle Processing Center,1175,CS,active
00012345600050,SKU-WOOF-005-005,Automatic Treat Dispenser Pro,0614141000050,Bulldog Bulk Warehouse,491,CS,low_stock
00012345600067,SKU-WOOF-006-006,Indestructible Chew Toy (Ha Right),0614141000012,Golden Retriever Distribution Center,326,EA,reserved
00012345600074,SKU-WOOF-007-007,Self-Cleaning Dog Bath Station,0614141000029,Labrador Logistics Hub,196,EA,active
00012345600081,SKU-WOOF-008-008,AI-Powered Smart Dog Door,0614141000036,German Shepherd Sorting Facility,518,EA,active
00012345600012,SKU-WOOF-001-009,Premium Belly Rub Machine,0614141000043,Poodle Processing Center,526,EA,active
00012345600029,SKU-WOOF-002-010,Tennis Ball Launcher 3000,0614141000050,Bulldog Bulk Warehouse,351,EA,active
00012345600036,SKU-WOOF-003-011,Squirrel Detection Radar,0614141000012,Golden Retriever Distribution Center,621,EA,low_stock
00012345600043,SKU-WOOF-004-012,Anti-Mailman Defense System,0614141000029,Labrador Logistics Hub,617,EA,active
00012345600050,SKU-WOOF-005-013,Automatic Treat Dispenser Pro,0614141000036,German Shepherd Sorting Facility,1473,CS,active
00012345600067,SKU-WOOF-006-014,Indestructible Chew Toy (Ha Right),0614141000043,Poodle Processing Center,819,PL,active
00012345600074,SKU-WOOF-007-015,Self-Cleaning Dog Bath Station,0614141000050,Bulldog Bulk Warehouse,588,EA,reserved
00012345600081,SKU-WOOF-008-016,AI-Powered Smart Dog Door,0614141000012,Golden Retriever Distribution Center,1268,EA,active
00012345600012,SKU-WOOF-001-017,Premium Belly Rub Machine,0614141000029,Labrador Logistics Hub,968,EA,active
00012345600029,SKU-WOOF-002-018,Tennis Ball Launcher 3000,0614141000036,German Shepherd Sorting Facility,469,PL,low_stock
00012345600036,SKU-WOOF-003-019,Squirrel Detection Radar,0614141000043,Poodle Processing Center,1246,EA,low_stock
00012345600043,SKU-WOOF-004-020,Anti-Mailman Defense System,0614141000050,Bulldog Bulk Warehouse,385,EA,active
00012345600050,SKU-WOOF-005-021,Automatic Treat Dispenser Pro,0614141000012,Golden Retriever Distribution Center,137,EA,active
00012345600067,SKU-WOOF-006-022,Indestructible Chew Toy (Ha Right),0614141000029,Labrador Logistics Hub,279,PL,active
00012345600074,SKU-WOOF-007-023,Self-Cleaning Dog Bath Station,0614141000036,German Shepherd Sorting Facility,1203,CS,active
00012345600081,SKU-WOOF-008-024,AI-Powered Smart Dog Door,0614141000043,Poodle Processing Center,397,EA,active
00012345600012,SKU-WOOF-001-025,Premium Belly Rub Machine,0614141000050,Bulldog Bulk Warehouse,879,EA,active
00012345600029,SKU-WOOF-002-026,Tennis Ball Launcher 3000,0614141000012,Golden Retriever Distribution Center,815,EA,reserved
00012345600036,SKU-WOOF-003-027,Squirrel Detection Radar,0614141000029,Labrador Logistics Hub,122,EA,active
00012345600043,SKU-WOOF-004-028,Anti-Mailman Defense System,0614141000036,German Shepherd Sorting Facility,1475,EA,active
00012345600050,SKU-WOOF-005-029,Automatic Treat Dispenser Pro,0614141000043,Poodle Processing Center,1272,EA,reserved
00012345600067,SKU-WOOF-006-030,Indestructible Chew Toy (Ha Right),0614141000050,Bulldog Bulk Warehouse,978,CS,active
00012345600074,SKU-WOOF-007-031,Self-Cleaning Dog Bath Station,0614141000012,Golden Retriever Distribution Center,506,EA,active
00012345600081,SKU-WOOF-008-032,AI-Powered Smart Dog Door,0614141000029,Labrador Logistics Hub,168,EA,active
00012345600012,SKU-WOOF-001-033,Premium Belly Rub Machine,0614141000036,German Shepherd Sorting Facility,1338,EA,active
00012345600029,SKU-WOOF-002-034,Tennis Ball Launcher 3000,0614141000043,Poodle Processing Center,1207,CS,active
00012345600036,SKU-WOOF-003-035,Squirrel Detection Radar,0614141000050,Bulldog Bulk Warehouse,61,EA,low_stock
00012345600043,SKU-WOOF-004-036,Anti-Mailman Defense System,0614141000012,Golden Retriever Distribution Center,568,EA,active
00012345600050,SKU-WOOF-005-037,Automatic Treat Dispenser Pro,0614141000029,Labrador Logistics Hub,675,EA,active
00012345600067,SKU-WOOF-006-038,Indestructible Chew Toy (Ha Right),0614141000036,German Shepherd Sorting Facility,73,EA,active
00012345600074,SKU-WOOF-007-039,Self-Cleaning Dog Bath Station,0614141000043,Poodle Processing Center,1481,EA,active
00012345600081,SKU-WOOF-008-040,AI-Powered Smart Dog Door,0614141000050,Bulldog Bulk Warehouse,169,EA,active
00012345600012,SKU-WOOF-001-041,Premium Belly Rub Machine,0614141000012,Golden Retriever Distribution Center,384,EA,active
00012345600029,SKU-WOOF-002-042,Tennis Ball Launcher 3000,0614141000029,Labrador Logistics Hub,1194,EA,reserved
00012345600036,SKU-WOOF-003-043,Squirrel Detection Radar,0614141000036,German Shepherd Sorting Facility,114,EA,active
00012345600043,SKU-WOOF-004-044,Anti-Mailman Defense System,0614141000043,Poodle Processing Center,859,EA,active
00012345600050,SKU-WOOF-005-045,Automatic Treat Dispenser Pro,0614141000050,Bulldog Bulk Warehouse,540,CS,active
00012345600067,SKU-WOOF-006-046,Indestructible Chew Toy (Ha Right),0614141000012,Golden Retriever Distribution Center,605,EA,active
00012345600074,SKU-WOOF-007-047,Self-Cleaning Dog Bath Station,0614141000029,Labrador Logistics Hub,1306,EA,active
00012345600081,SKU-WOOF-008-048,AI-Powered Smart Dog Door,0614141000036,German Shepherd Sorting Facility,1321,CS,active
00012345600012,SKU-WOOF-001-049,Premium Belly Rub Machine,0614141000043,Poodle Processing Center,1217,EA,active
00012345600029,SKU-WOOF-002-050,Tennis Ball Launcher 3000,0614141000050,Bulldog Bulk Warehouse,1263,EA,low_stock
00012345600036,SKU-WOOF-003-051,Squirrel Detection Radar,0614141000012,Golden Retriever Distribution Center,509,EA,active
00012345600043,SKU-WOOF-004-052,Anti-Mailman Defense System,0614141000029,Labrador Logistics Hub,474,EA,active
00012345600050,SKU-WOOF-005-053,Automatic Treat Dispenser Pro,0614141000036,German Shepherd Sorting Facility,471,EA,active
00012345600067,SKU-WOOF-006-054,Indestructible Chew Toy (Ha Right),0614141000043,Poodle Processing Center,806,PL,low_stock
00012345600074,SKU-WOOF-007-055,Self-Cleaning Dog Bath Station,0614141000050,Bulldog Bulk Warehouse,1413,EA,active
00012345600081,SKU-WOOF-008-056,AI-Powered Smart Dog Door,0614141000012,Golden Retriever Distribution Center,1175,EA,active
00012345600012,SKU-WOOF-001-057,Premium Belly Rub Machine,0614141000029,Labrador Logistics Hub,1043,EA,active
00012345600029,SKU-WOOF-002-058,Tennis Ball Launcher 3000,0614141000036,German Shepherd Sorting Facility,817,EA,active
00012345600036,SKU-WOOF-003-059,Squirrel Detection Radar,0614141000043,Poodle Processing Center,367,EA,active
00012345600043,SKU-WOOF-004-060,Anti-Mailman Defense System,0614141000050,Bulldog Bulk Warehouse,179,EA,reserved
00012345600050,SKU-WOOF-005-061,Automatic Treat Dispenser Pro,0614141000012,Golden Retriever Distribution Center,418,EA,active
00012345600067,SKU-WOOF-006-062,Indestructible Chew Toy (Ha Right),0614141000029,Labrador Logistics Hub,142,EA,active
00012345600074,SKU-WOOF-007-063,Self-Cleaning Dog Bath Station,0614141000036,German Shepherd Sorting Facility,831,EA,active
00012345600081,SKU-WOOF-008-064,AI-Powered Smart Dog Door,0614141000043,Poodle Processing Center,58,EA,reserved
00012345600012,SKU-WOOF-001-065,Premium Belly Rub Machine,0614141000050,Bulldog Bulk Warehouse,165,EA,active
00012345600029,SKU-WOOF-002-066,Tennis Ball Launcher 3000,0614141000012,Golden Retriever Distribution Center,984,EA,active
00012345600036,SKU-WOOF-003-067,Squirrel Detection Radar,0614141000029,Labrador Logistics Hub,755,EA,active
00012345600043,SKU-WOOF-004-068,Anti-Mailman Defense System,0614141000036,German Shepherd Sorting Facility,327,PL,reserved
00012345600050,SKU-WOOF-005-069,Automatic Treat Dispenser Pro,0614141000043,Poodle Processing Center,1289,EA,active
